frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
35;1.166667;19;19.002410;19.000000;1.000160;1.000127;1.000160;1.000153;1.000147;1.000141;1.000136;1.000131;1.000124;1.000120;1.000119;1.000119;1.000119;1.000119;1.000118;1.000119;1.000119;1.000118;1.000118;1.000118;1.000118
36;1.200000;19;19.002580;19.000000;1.000170;1.000136;1.000170;1.000163;1.000157;1.000151;1.000146;1.000141;1.000134;1.000129;1.000127;1.000127;1.000127;1.000126;1.000127;1.000126;1.000126;1.000125;1.000125;1.000126;1.000125
37;1.233333;19;19.002750;19.000000;1.000181;1.000145;1.000181;1.000174;1.000168;1.000162;1.000156;1.000151;1.000144;1.000139;1.000135;1.000135;1.000135;1.000134;1.000135;1.000134;1.000134;1.000134;1.000133;1.000134;1.000133
38;1.266667;19;19.002920;19.000000;1.000191;1.000154;1.000191;1.000184;1.000178;1.000172;1.000166;1.000161;1.000155;1.000148;1.000144;1.000143;1.000142;1.000142;1.000142;1.000142;1.000142;1.000142;1.000142;1.000141;1.000142
39;1.300000;19;19.003080;19.000000;1.000201;1.000162;1.000201;1.000194;1.000188;1.000182;1.000176;1.000171;1.000165;1.000159;1.000154;1.000151;1.000150;1.000150;1.000149;1.000150;1.000149;1.000149;1.000149;1.000149;1.000149
40;1.333333;19;19.003270;19.000000;1.000211;1.000172;1.000211;1.000205;1.000198;1.000193;1.000187;1.000181;1.000177;1.000170;1.000163;1.000160;1.000159;1.000158;1.000158;1.000158;1.000158;1.000157;1.000158;1.000157;1.000158
41;1.366667;19;19.003450;19.000000;1.000223;1.000182;1.000223;1.000216;1.000210;1.000203;1.000198;1.000192;1.000187;1.000181;1.000175;1.000170;1.000167;1.000167;1.000166;1.000166;1.000166;1.000166;1.000165;1.000166;1.000165
42;1.400000;19;19.003640;19.000000;1.000234;1.000192;1.000234;1.000228;1.000221;1.000215;1.000209;1.000203;1.000198;1.000193;1.000187;1.000180;1.000177;1.000175;1.000175;1.000175;1.000174;1.000175;1.000174;1.000174;1.000173
43;1.433333;19;19.003840;19.000000;1.000246;1.000202;1.000246;1.000239;1.000232;1.000226;1.000220;1.000214;1.000209;1.000204;1.000199;1.000192;1.000187;1.000185;1.000184;1.000183;1.000183;1.000184;1.000183;1.000183;1.000184
44;1.466667;19;19.004040;19.000000;1.000257;1.000212;1.000257;1.000251;1.000244;1.000238;1.000232;1.000226;1.000221;1.000216;1.000210;1.000204;1.000198;1.000194;1.000194;1.000192;1.000192;1.000191;1.000193;1.000191;1.000192
45;1.500000;19;19.004240;19.000000;1.000269;1.000223;1.000269;1.000263;1.000256;1.000250;1.000244;1.000238;1.000233;1.000228;1.000222;1.000216;1.000210;1.000206;1.000202;1.000202;1.000202;1.000201;1.000201;1.000201;1.000200
46;1.533333;19;19.004460;19.000000;1.000282;1.000235;1.000282;1.000275;1.000268;1.000262;1.000256;1.000250;1.000245;1.000239;1.000235;1.000229;1.000222;1.000217;1.000214;1.000212;1.000211;1.000211;1.000210;1.000211;1.000209
47;1.566666;19;19.004680;19.000000;1.000294;1.000246;1.000294;1.000288;1.000281;1.000275;1.000269;1.000263;1.000257;1.000252;1.000247;1.000242;1.000235;1.000229;1.000224;1.000222;1.000221;1.000220;1.000220;1.000220;1.000221
48;1.600000;19;19.004910;19.000000;1.000307;1.000258;1.000307;1.000301;1.000294;1.000288;1.000281;1.000276;1.000270;1.000265;1.000260;1.000255;1.000249;1.000243;1.000236;1.000233;1.000231;1.000231;1.000230;1.000230;1.000230
49;1.633333;19;19.005140;19.000000;1.000320;1.000271;1.000320;1.000314;1.000307;1.000301;1.000295;1.000289;1.000283;1.000278;1.000273;1.000268;1.000262;1.000255;1.000250;1.000244;1.000243;1.000241;1.000241;1.000240;1.000241
50;1.666666;19;19.005400;19.000000;1.000334;1.000284;1.000334;1.000328;1.000321;1.000315;1.000309;1.000303;1.000297;1.000291;1.000286;1.000281;1.000277;1.000270;1.000264;1.000259;1.000255;1.000253;1.000252;1.000252;1.000251
51;1.700000;19;19.005680;19.000000;1.000349;1.000299;1.000349;1.000343;1.000336;1.000330;1.000324;1.000317;1.000312;1.000306;1.000301;1.000296;1.000291;1.000287;1.000280;1.000273;1.000269;1.000267;1.000265;1.000265;1.000265
52;1.733333;19;19.006020;19.000000;1.000368;1.000317;1.000368;1.000361;1.000355;1.000348;1.000342;1.000336;1.000330;1.000325;1.000319;1.000314;1.000309;1.000304;1.000299;1.000293;1.000288;1.000284;1.000283;1.000282;1.000282
53;1.766666;19;19.006490;19.000000;1.000392;1.000342;1.000392;1.000385;1.000379;1.000372;1.000366;1.000360;1.000354;1.000349;1.000343;1.000338;1.000333;1.000329;1.000324;1.000319;1.000313;1.000311;1.000308;1.000308;1.000308
54;1.800000;19;19.007250;19.000000;1.000430;1.000382;1.000430;1.000423;1.000417;1.000411;1.000404;1.000398;1.000392;1.000387;1.000382;1.000377;1.000372;1.000367;1.000364;1.000360;1.000355;1.000354;1.000352;1.000353;1.000353
55;1.833333;19;19.008690;19.000000;1.000502;1.000457;1.000502;1.000495;1.000489;1.000482;1.000476;1.000471;1.000465;1.000459;1.000454;1.000450;1.000446;1.000442;1.000438;1.000437;1.000436;1.000435;1.000437;1.000439;1.000440
56;1.866666;19;19.011960;19.000000;1.000664;1.000630;1.000664;1.000658;1.000651;1.000645;1.000640;1.000634;1.000629;1.000624;1.000620;1.000616;1.000614;1.000611;1.000611;1.000612;1.000616;1.000621;1.000628;1.000633;1.000638
57;1.899999;19;19.021480;19.000000;1.001200;1.001131;1.001137;1.001131;1.001125;1.001120;1.001115;1.001111;1.001108;1.001105;1.001104;1.001104;1.001106;1.001109;1.001115;1.001125;1.001139;1.001158;1.001176;1.001192;1.001200
58;1.933333;19;19.055810;19.000000;1.003175;1.002937;1.002852;1.002847;1.002843;1.002840;1.002840;1.002841;1.002846;1.002852;1.002862;1.002876;1.002895;1.002920;1.002949;1.002986;1.003029;1.003076;1.003121;1.003156;1.003175
59;1.966666;19;19.161070;19.000000;1.008963;1.008478;1.008222;1.008218;1.008220;1.008224;1.008235;1.008250;1.008272;1.008300;1.008336;1.008381;1.008434;1.008493;1.008562;1.008636;1.008717;1.008800;1.008875;1.008935;1.008963
