frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
62;2.066666;19;19.958680;19.000000;1.051163;1.050457;1.051163;1.051098;1.051055;1.050972;1.050897;1.050816;1.050802;1.050620;1.050542;1.050457;1.050366;1.050274;1.050197;1.050119;1.050055;1.049917;1.049877;1.049798;1.049653
63;2.099999;19;20.158040;19.000000;1.062041;1.060949;1.062041;1.061985;1.061907;1.061810;1.061696;1.061567;1.061426;1.061276;1.061120;1.060960;1.060802;1.060645;1.060497;1.060355;1.060217;1.060089;1.059976;1.059903;1.059769
64;2.133333;19;20.308390;19.000000;1.070156;1.068863;1.070156;1.070090;1.069996;1.069880;1.069742;1.069587;1.069419;1.069240;1.069055;1.068866;1.068685;1.068506;1.068334;1.068165;1.068000;1.067901;1.067737;1.067574;1.067456
65;2.166666;19;20.401170;19.000000;1.075005;1.073746;1.075005;1.074936;1.074820;1.074701;1.074570;1.074425;1.074268;1.074101;1.073928;1.073751;1.073575;1.073401;1.073233;1.073074;1.073015;1.072761;1.072642;1.072565;1.072403
66;2.199999;19;20.434060;19.000000;1.076665;1.075477;1.076665;1.076564;1.076478;1.076371;1.076248;1.076111;1.075963;1.075807;1.075645;1.075487;1.075325;1.075165;1.075011;1.074914;1.074751;1.074541;1.074468;1.074367;1.074176
67;2.233333;19;20.409250;19.000000;1.075268;1.074171;1.075268;1.075202;1.075150;1.075090;1.074906;1.074767;1.074634;1.074472;1.074323;1.074175;1.074026;1.073906;1.073736;1.073682;1.073465;1.073316;1.073210;1.073041;1.072888
68;2.266666;19;20.331740;19.000000;1.071136;1.070092;1.071136;1.071071;1.070981;1.070886;1.070780;1.070663;1.070536;1.070402;1.070263;1.070119;1.069974;1.069832;1.069688;1.069543;1.069403;1.069327;1.069127;1.069052;1.068962
69;2.299999;19;20.209290;19.000000;1.064614;1.063647;1.064614;1.064584;1.064472;1.064374;1.064271;1.064159;1.064041;1.063917;1.063787;1.063655;1.063523;1.063458;1.063262;1.063148;1.063090;1.062886;1.062787;1.062730;1.062527
70;2.333333;19;20.051770;19.000000;1.056235;1.055356;1.056235;1.056186;1.056098;1.056044;1.055880;1.055784;1.055693;1.055583;1.055494;1.055375;1.055262;1.055227;1.054994;1.054914;1.054800;1.054689;1.054598;1.054491;1.054424
71;2.366666;19;19.870640;19.000000;1.046537;1.045823;1.046537;1.046473;1.046422;1.046387;1.046281;1.046227;1.046122;1.045994;1.045919;1.045831;1.045772;1.045651;1.045602;1.045452;1.045365;1.045249;1.045191;1.045103;1.045060
72;2.399999;19;19.677980;19.000000;1.036275;1.035683;1.036275;1.036249;1.036193;1.036126;1.036037;1.035995;1.035948;1.035858;1.035810;1.035660;1.035583;1.035516;1.035467;1.035374;1.035301;1.035272;1.035184;1.035093;1.035038
73;2.433332;19;19.485990;19.000000;1.025995;1.025578;1.025995;1.025974;1.025942;1.025921;1.025865;1.025815;1.025757;1.025713;1.025639;1.025579;1.025527;1.025485;1.025389;1.025366;1.025302;1.025247;1.025218;1.025149;1.025102
74;2.466666;19;19.306170;19.000000;1.016403;1.016114;1.016403;1.016367;1.016358;1.016344;1.016284;1.016246;1.016236;1.016201;1.016147;1.016112;1.016093;1.016036;1.015997;1.015975;1.015950;1.015920;1.015873;1.015837;1.015788
75;2.499999;19;19.148620;19.000000;1.007905;1.007822;1.007905;1.007896;1.007886;1.007875;1.007864;1.007855;1.007846;1.007837;1.007826;1.007817;1.007808;1.007800;1.007792;1.007786;1.007777;1.007771;1.007766;1.007760;1.007754
76;2.533332;19;19.021790;19.000000;1.001193;1.001147;1.001125;1.001124;1.001121;1.001122;1.001119;1.001128;1.001133;1.001135;1.001140;1.001145;1.001148;1.001154;1.001150;1.001158;1.001171;1.001174;1.001172;1.001179;1.001193
77;2.566666;19;18.995670;19.000000;0.999782;0.999772;0.999759;0.999760;0.999772;0.999780;0.999782;0.999780;0.999778;0.999778;0.999778;0.999778;0.999778;0.999778;0.999778;0.999778;0.999777;0.999770;0.999761;0.999753;0.999751
