frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
50;1.666666;19;19.040910;19.000000;1.002919;1.002153;1.002919;1.002879;1.002825;1.002754;1.002671;1.002574;1.002464;1.002344;1.002213;1.002080;1.001955;1.001864;1.001822;1.001827;1.001849;1.001870;1.001879;1.001876;1.000247
51;1.700000;19;19.043550;19.000000;1.003113;1.002292;1.003113;1.003074;1.003018;1.002949;1.002864;1.002766;1.002655;1.002532;1.002399;1.002258;1.002121;1.002002;1.001927;1.001902;1.001911;1.001926;1.001936;1.001933;1.000259
52;1.733333;19;19.046570;19.000000;1.003323;1.002451;1.003323;1.003284;1.003229;1.003158;1.003074;1.002974;1.002863;1.002738;1.002602;1.002458;1.002311;1.002173;1.002068;1.002012;1.001997;1.002006;1.002014;1.002012;1.000273
53;1.766666;19;19.050380;19.000000;1.003568;1.002652;1.003568;1.003528;1.003474;1.003404;1.003319;1.003220;1.003108;1.002983;1.002845;1.002700;1.002545;1.002396;1.002266;1.002178;1.002139;1.002134;1.002141;1.002139;1.000293
54;1.800000;19;19.055870;19.000000;1.003893;1.002940;1.003893;1.003854;1.003800;1.003731;1.003648;1.003550;1.003438;1.003313;1.003176;1.003028;1.002871;1.002715;1.002568;1.002455;1.002389;1.002370;1.002371;1.002373;1.000326
55;1.833333;19;19.064940;19.000000;1.004398;1.003418;1.004398;1.004361;1.004308;1.004241;1.004159;1.004064;1.003955;1.003832;1.003696;1.003549;1.003394;1.003232;1.003078;1.002948;1.002862;1.002826;1.002826;1.002829;1.000384
56;1.866666;19;19.081930;19.000000;1.005302;1.004312;1.005302;1.005266;1.005217;1.005155;1.005078;1.004989;1.004886;1.004770;1.004641;1.004501;1.004351;1.004196;1.004044;1.003910;1.003815;1.003773;1.003769;1.003776;1.000493
57;1.899999;19;19.116830;19.000000;1.007087;1.006149;1.007087;1.007057;1.007016;1.006965;1.006903;1.006830;1.006745;1.006649;1.006543;1.006427;1.006302;1.006175;1.006050;1.005944;1.005869;1.005843;1.005847;1.005859;1.000716
58;1.933333;19;19.190030;19.000000;1.010765;1.010002;1.010765;1.010747;1.010726;1.010700;1.010670;1.010635;1.010596;1.010549;1.010499;1.010444;1.010390;1.010340;1.010298;1.010274;1.010275;1.010293;1.010324;1.010341;1.001162
59;1.966666;19;19.327940;19.000000;1.018550;1.017260;1.017855;1.017855;1.017860;1.017869;1.017884;1.017903;1.017927;1.017958;1.017995;1.018041;1.018100;1.018170;1.018251;1.018336;1.018418;1.018487;1.018535;1.018550;1.001944
60;1.999999;19;19.541630;19.000000;1.030569;1.028507;1.029384;1.029391;1.029407;1.029434;1.029472;1.029525;1.029593;1.029679;1.029784;1.029904;1.030035;1.030167;1.030289;1.030395;1.030477;1.030539;1.030569;1.030564;1.003019
61;2.033333;19;19.825350;19.000000;1.045985;1.043439;1.045200;1.045205;1.045219;1.045246;1.045285;1.045342;1.045414;1.045501;1.045596;1.045691;1.045778;1.045851;1.045909;1.045950;1.045976;1.045985;1.045971;1.045926;1.004297
62;2.066666;19;20.174040;19.000000;1.064985;1.061791;1.064909;1.064908;1.064912;1.064921;1.064934;1.064950;1.064967;1.064979;1.064985;1.064982;1.064971;1.064953;1.064929;1.064897;1.064857;1.064805;1.064730;1.064634;1.005815
63;2.099999;19;20.573240;19.000000;1.087437;1.082802;1.087437;1.087415;1.087386;1.087348;1.087301;1.087247;1.087188;1.087125;1.087061;1.086996;1.086933;1.086867;1.086798;1.086721;1.086631;1.086526;1.086400;1.086252;1.007610
64;2.133333;19;20.983880;19.000000;1.110282;1.104415;1.110282;1.110240;1.110180;1.110111;1.110036;1.109959;1.109886;1.109818;1.109757;1.109698;1.109639;1.109575;1.109499;1.109407;1.109294;1.109156;1.108993;1.108798;1.009551
65;2.166666;19;21.376950;19.000000;1.132134;1.125103;1.132134;1.132088;1.132025;1.131951;1.131869;1.131786;1.131703;1.131623;1.131544;1.131465;1.131381;1.131288;1.131180;1.131054;1.130905;1.130731;1.130528;1.130295;1.011400
66;2.199999;19;21.762290;19.000000;1.153727;1.145383;1.153727;1.153682;1.153619;1.153539;1.153445;1.153339;1.153221;1.153095;1.152959;1.152814;1.152658;1.152491;1.152311;1.152114;1.151902;1.151668;1.151416;1.151143;1.013140
67;2.233333;19;22.160840;19.000000;1.176010;1.166360;1.176010;1.175963;1.175896;1.175807;1.175699;1.175572;1.175427;1.175264;1.175084;1.174889;1.174678;1.174452;1.174212;1.173956;1.173685;1.173399;1.173099;1.172784;1.014956
68;2.266666;19;22.574670;19.000000;1.199047;1.188140;1.199047;1.198995;1.198919;1.198819;1.198698;1.198555;1.198391;1.198208;1.198007;1.197787;1.197551;1.197296;1.197024;1.196736;1.196430;1.196108;1.195768;1.195411;1.016915
69;2.299999;19;22.990740;19.000000;1.222154;1.210039;1.222154;1.222097;1.222014;1.221907;1.221777;1.221624;1.221450;1.221255;1.221041;1.220808;1.220555;1.220284;1.219993;1.219682;1.219349;1.218996;1.218621;1.218223;1.018915
70;2.333333;19;23.400420;19.000000;1.244848;1.231601;1.244848;1.244792;1.244712;1.244606;1.244478;1.244327;1.244152;1.243955;1.243736;1.243495;1.243231;1.242944;1.242633;1.242297;1.241938;1.241551;1.241140;1.240702;1.020884
71;2.366666;19;23.803880;19.000000;1.267187;1.252836;1.267187;1.267135;1.267058;1.266959;1.266835;1.266687;1.266515;1.266317;1.266094;1.265844;1.265567;1.265264;1.264931;1.264573;1.264182;1.263764;1.263317;1.262840;1.022818
72;2.399999;19;24.201600;19.000000;1.289257;1.273769;1.289257;1.289204;1.289126;1.289025;1.288898;1.288746;1.288567;1.288361;1.288126;1.287863;1.287569;1.287246;1.286891;1.286504;1.286085;1.285634;1.285151;1.284635;1.024719
73;2.433332;19;24.590770;19.000000;1.310904;1.294251;1.310904;1.310846;1.310762;1.310653;1.310516;1.310351;1.310158;1.309936;1.309682;1.309399;1.309083;1.308734;1.308352;1.307937;1.307487;1.307001;1.306481;1.305927;1.026567
74;2.466666;19;24.968240;19.000000;1.331922;1.314118;1.331922;1.331859;1.331769;1.331649;1.331499;1.331320;1.331109;1.330868;1.330593;1.330286;1.329944;1.329567;1.329156;1.328708;1.328225;1.327705;1.327149;1.326557;1.028351
75;2.499999;19;25.331970;19.000000;1.352176;1.333262;1.352176;1.352109;1.352011;1.351882;1.351721;1.351527;1.351301;1.351040;1.350744;1.350414;1.350047;1.349644;1.349203;1.348724;1.348210;1.347655;1.347065;1.346434;1.030068
76;2.533332;19;25.680290;19.000000;1.371560;1.351594;1.371560;1.371488;1.371385;1.371247;1.371076;1.370871;1.370630;1.370353;1.370039;1.369689;1.369300;1.368873;1.368406;1.367900;1.367355;1.366771;1.366145;1.365482;1.031717
77;2.566666;19;26.011300;19.000000;1.389967;1.369016;1.389967;1.389893;1.389784;1.389640;1.389462;1.389246;1.388994;1.388704;1.388375;1.388008;1.387600;1.387152;1.386663;1.386132;1.385561;1.384947;1.384291;1.383595;1.033290
78;2.599999;19;26.323240;19.000000;1.407306;1.385434;1.407306;1.407229;1.407117;1.406968;1.406782;1.406559;1.406297;1.405995;1.405654;1.405271;1.404847;1.404381;1.403871;1.403318;1.402721;1.402082;1.401397;1.400668;1.034774
79;2.633332;19;26.614530;19.000000;1.423498;1.400765;1.423498;1.423418;1.423302;1.423148;1.422957;1.422726;1.422454;1.422143;1.421789;1.421393;1.420953;1.420470;1.419941;1.419366;1.418748;1.418082;1.417369;1.416615;1.036160
80;2.666666;19;26.883740;19.000000;1.438465;1.414934;1.438465;1.438383;1.438264;1.438105;1.437907;1.437669;1.437389;1.437067;1.436702;1.436292;1.435838;1.435338;1.434790;1.434197;1.433554;1.432866;1.432131;1.431346;1.037440
81;2.699999;19;27.129570;19.000000;1.452136;1.427872;1.452136;1.452052;1.451929;1.451766;1.451562;1.451316;1.451028;1.450696;1.450319;1.449897;1.449428;1.448912;1.448349;1.447735;1.447074;1.446364;1.445606;1.444797;1.038607
