frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
185;1.541666;1.015147;1.000000;1.015147;1.015147;1.015147
186;1.549999;1.009673;1.000000;1.009673;1.009673;1.009673
187;1.558332;1.004393;1.000000;1.004393;1.004393;1.004393
188;1.566666;0.999657;1.000000;0.999657;0.999657;0.999657
189;1.574999;0.995766;1.000000;0.995766;0.995766;0.995766
190;1.583332;0.992952;1.000000;0.992952;0.992952;0.992952
191;1.591666;0.991370;1.000000;0.991370;0.991370;0.991370
192;1.599999;0.991083;1.000000;0.991083;0.991083;0.991083
193;1.608332;0.992068;1.000000;0.992068;0.992068;0.992068
194;1.616665;0.994215;1.000000;0.994215;0.994215;0.994215
195;1.624999;0.997340;1.000000;0.997340;0.997340;0.997340
196;1.633332;1.001199;1.000000;1.001199;1.001199;1.001199
197;1.641665;1.005509;1.000000;1.005509;1.005509;1.005509
198;1.649999;1.009963;1.000000;1.009963;1.009963;1.009963
199;1.658332;1.014256;1.000000;1.014256;1.014256;1.014256
200;1.666665;1.018104;1.000000;1.018104;1.018104;1.018104
201;1.674999;1.021263;1.000000;1.021263;1.021263;1.021263
202;1.683332;1.023543;1.000000;1.023543;1.023543;1.023543
203;1.691665;1.024821;1.000000;1.024821;1.024821;1.024821
204;1.699999;1.025044;1.000000;1.025044;1.025044;1.025044
205;1.708332;1.024234;1.000000;1.024234;1.024234;1.024234
206;1.716665;1.022479;1.000000;1.022479;1.022479;1.022479
207;1.724999;1.019929;1.000000;1.019929;1.019929;1.019929
208;1.733332;1.016785;1.000000;1.016785;1.016785;1.016785
209;1.741665;1.013277;1.000000;1.013277;1.013277;1.013277
210;1.749999;1.009654;1.000000;1.009654;1.009654;1.009654
211;1.758332;1.006164;1.000000;1.006164;1.006164;1.006164
212;1.766665;1.003038;1.000000;1.003038;1.003038;1.003038
213;1.774999;1.000475;1.000000;1.000475;1.000475;1.000475
214;1.783332;0.998627;1.000000;0.998627;0.998627;0.998627
215;1.791665;0.997595;1.000000;0.997595;0.997595;0.997595
216;1.799999;0.997421;1.000000;0.997421;0.997421;0.997421
217;1.808332;0.998088;1.000000;0.998088;0.998088;0.998088
218;1.816665;0.999522;1.000000;0.999522;0.999522;0.999522
219;1.824999;1.001601;1.000000;1.001601;1.001601;1.001601
220;1.833332;1.004162;1.000000;1.004162;1.004162;1.004162
221;1.841665;1.007018;1.000000;1.007018;1.007018;1.007018
222;1.849999;1.009966;1.000000;1.009966;1.009966;1.009966
223;1.858332;1.012803;1.000000;1.012803;1.012803;1.012803
224;1.866665;1.015343;1.000000;1.015343;1.015343;1.015343
225;1.874999;1.017424;1.000000;1.017424;1.017424;1.017424
226;1.883332;1.018922;1.000000;1.018922;1.018922;1.018922
227;1.891665;1.019755;1.000000;1.019755;1.019755;1.019755
228;1.899999;1.019889;1.000000;1.019889;1.019889;1.019889
229;1.908332;1.019340;1.000000;1.019340;1.019340;1.019340
230;1.916665;1.018168;1.000000;1.018168;1.018168;1.018168
231;1.924999;1.016472;1.000000;1.016472;1.016472;1.016472
232;1.933332;1.014384;1.000000;1.014384;1.014384;1.014384
233;1.941665;1.012059;1.000000;1.012059;1.012059;1.012059
234;1.949998;1.009662;1.000000;1.009662;1.009662;1.009662
235;1.958332;1.007355;1.000000;1.007355;1.007355;1.007355
236;1.966665;1.005293;1.000000;1.005293;1.005293;1.005293
237;1.974998;1.003605;1.000000;1.003605;1.003605;1.003605
238;1.983332;1.002392;1.000000;1.002392;1.002392;1.002392
239;1.991665;1.001720;1.000000;1.001720;1.001720;1.001720
240;1.999998;1.001616;1.000000;1.001616;1.001616;1.001616
241;2.008332;1.002069;1.000000;1.002069;1.002069;1.002069
242;2.016665;1.003027;1.000000;1.003027;1.003027;1.003027
243;2.024999;1.004411;1.000000;1.004411;1.004411;1.004411
244;2.033332;1.006111;1.000000;1.006111;1.006111;1.006111
245;2.041666;1.008003;1.000000;1.008003;1.008003;1.008003
246;2.049999;1.009953;1.000000;1.009953;1.009953;1.009953
247;2.058332;1.011827;1.000000;1.011827;1.011827;1.011827
248;2.066666;1.013502;1.000000;1.013502;1.013502;1.013502
249;2.074999;1.014872;1.000000;1.014872;1.014872;1.014872
250;2.083333;1.015854;1.000000;1.015854;1.015854;1.015854
251;2.091666;1.016396;1.000000;1.016396;1.016396;1.016396
252;2.100000;1.016476;1.000000;1.016476;1.016476;1.016476
253;2.108333;1.016104;1.000000;1.016104;1.016104;1.016104
254;2.116667;1.015321;1.000000;1.015321;1.015321;1.015321
255;2.125000;1.014194;1.000000;1.014194;1.014194;1.014194
256;2.133333;1.012809;1.000000;1.012809;1.012809;1.012809
