frame;time;maxForce;avgForce;maxAccel
217;7.233328;2.88415;0.527093;2425.38
218;7.266661;2.52573;0.500323;2263.5
219;7.299994;3.43382;0.452363;3090.44
220;7.333328;4.75185;0.423307;4276.66
221;7.366661;6.11746;0.458429;5505.71
222;7.399994;6.75306;0.505219;6056.42
223;7.433328;6.60414;0.514875;5943.72
224;7.466661;5.1858;0.467696;4667.21
225;7.499994;2.81897;0.412367;2537.06
226;7.533328;2.07683;0.361763;1225.8
227;7.566661;1.476;0.350549;962.336
228;7.599994;1.14264;0.327356;1028.37
229;7.633327;1.0247;0.311417;769.119
230;7.666661;0.830379;0.286468;456.61
231;7.699994;1.17951;0.253336;549.654
232;7.733327;2.97232;0.247082;2675.08
233;7.766661;2.86064;0.239987;2574.57
234;7.799994;2.27259;0.263513;2034.8
235;7.833327;2.41013;0.273134;2169.11
236;7.866661;4.27776;0.297269;3849.98
237;7.899994;5.52747;0.347295;4974.71
238;7.933327;5.43883;0.378749;4894.94
239;7.966660;4.25717;0.383239;3831.45
240;7.999994;2.78744;0.349288;2508.69
241;8.033327;1.48828;0.282354;1339.45
242;8.066661;1.05957;0.225242;953.611
243;8.099995;1.4012;0.198903;1261.07
244;8.133328;1.25373;0.186685;1034.8
245;8.166662;1.07261;0.148469;728.553
246;8.199996;1.40394;0.143779;631.77
247;8.233330;1.26533;0.158232;569.397
248;8.266664;1.64636;0.161433;740.861
249;8.299997;1.61909;0.161762;765.365
250;8.333331;1.86604;0.159241;839.714
251;8.366665;1.50268;0.185309;1352.41
252;8.399999;1.49842;0.216321;817.714
253;8.433332;1.41125;0.222432;635.061
254;8.466666;2.0523;0.258559;923.534
255;8.500000;3.58691;0.342745;1614.1
256;8.533334;3.90631;0.384132;1757.83
257;8.566668;2.92327;0.352643;1315.47
258;8.600001;1.98328;0.284215;1259.26
259;8.633335;2.06728;0.248163;1860.54
260;8.666669;2.1487;0.235721;966.914
261;8.700003;3.0549;0.240539;1374.7
262;8.733336;4.37552;0.248078;1968.98
263;8.766670;4.69144;0.310918;3083.7
264;8.800004;4.25997;0.362168;3572.29
265;8.833338;4.56748;0.383434;2870.63
266;8.866672;3.95729;0.367755;2884.02
267;8.900005;3.22636;0.348945;2784.17
268;8.933339;2.168;0.299477;1951.19
269;8.966673;1.29825;0.22696;665.115
270;9.000007;0.908669;0.187444;668.019
271;9.033340;0.956748;0.149057;856.748
272;9.066674;0.943634;0.120495;849.269
273;9.100008;1.03503;0.110151;931.524
274;9.133342;1.07853;0.121518;953.281
275;9.166676;0.966983;0.127461;511.794
276;9.200009;1.25395;0.148471;1128.55
277;9.233343;1.04574;0.139881;470.583
278;9.266677;0.820324;0.163052;377.421
279;9.300011;1.01407;0.20588;446.626
280;9.333344;1.41068;0.236262;634.806
281;9.366678;1.55422;0.243626;1397.81
282;9.400012;1.85565;0.239079;1098.86
283;9.433346;2.16597;0.214464;974.686
284;9.466680;1.47521;0.165913;663.844
285;9.500013;0.887891;0.116553;799.101
286;9.533347;0.413522;0.0888186;372.169
287;9.566681;0.458894;0.081295;206.502
288;9.600015;0.251008;0.0713578;112.953
289;9.633348;0.302315;0.0739473;258.498
290;9.666682;0.409635;0.0772755;316.837
291;9.700016;0.242588;0.0724342;207.369
292;9.733350;0.237792;0.0686023;123.54
293;9.766684;0.277889;0.0665264;250.099
294;9.800017;0.365926;0.0667137;329.333
295;9.833351;0.373987;0.0725662;275.65
296;9.866685;0.407221;0.0780461;313.629
297;9.900019;0.405136;0.0822477;362.684
298;9.933352;0.390216;0.082637;328.483
299;9.966686;0.382647;0.0897041;246.793
300;10.000020;0.43671;0.0959418;196.519
301;10.033350;0.528693;0.094673;237.746
302;10.066690;0.501708;0.0870639;225.768
303;10.100020;0.361113;0.0747428;162.501
304;10.133360;0.257474;0.0640511;112.394
305;10.166690;0.207686;0.0583228;81.8706
306;10.200020;0.180306;0.0570377;57.4253
307;10.233360;0.15299;0.0518045;51.1752
308;10.266690;0.123171;0.0441457;39.2828
309;10.300020;0.122624;0.0438008;53.2129
310;10.333360;0.17398;0.0443421;78.2909
311;10.366690;0.16799;0.0457405;73.2108
312;10.400030;0.186487;0.0457827;83.9189
313;10.433360;0.166754;0.04465;75.0391
314;10.466690;0.134047;0.042703;63.4332
315;10.500030;0.118093;0.0384004;59.5172
316;10.533360;0.112679;0.0332348;50.7053
317;10.566690;0.100479;0.0300686;44.5194
318;10.600030;0.0877543;0.0298002;39.4893
319;10.633360;0.0971817;0.0304577;43.7317
320;10.666700;0.0940411;0.0302649;42.3184
321;10.700030;0.0989971;0.0297428;57.3172
322;10.733360;0.114235;0.0308253;54.9987
323;10.766700;0.118757;0.0328466;69.7236
324;10.800030;0.104869;0.0338847;74.0931
325;10.833360;0.105043;0.0336677;66.4257
326;10.866700;0.105424;0.0333469;50.2311
327;10.900030;0.107953;0.0338721;48.5789
328;10.933370;0.107435;0.0352563;48.3458
329;10.966700;0.111961;0.0368533;50.3823
330;11.000030;0.104542;0.0381785;47.0437
331;11.033370;0.123852;0.0390991;55.7335
332;11.066700;0.109354;0.0397725;49.2091
333;11.100030;0.112617;0.0401427;50.6775
334;11.133370;0.108132;0.0406122;48.6594
