frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
199;1.658332;1.014770;1.000000;1.014770;1.014770;1.014770
200;1.666665;1.018551;1.000000;1.018551;1.018551;1.018551
201;1.674999;1.021614;1.000000;1.021614;1.021614;1.021614
202;1.683332;1.023778;1.000000;1.023778;1.023778;1.023778
203;1.691665;1.024928;1.000000;1.024928;1.024928;1.024928
204;1.699999;1.025021;1.000000;1.025021;1.025021;1.025021
205;1.708332;1.024085;1.000000;1.024085;1.024085;1.024085
206;1.716665;1.022220;1.000000;1.022220;1.022220;1.022220
207;1.724999;1.019581;1.000000;1.019581;1.019581;1.019581
208;1.733332;1.016373;1.000000;1.016373;1.016373;1.016373
209;1.741665;1.012832;1.000000;1.012832;1.012832;1.012832
210;1.749999;1.009207;1.000000;1.009207;1.009207;1.009207
211;1.758332;1.005746;1.000000;1.005746;1.005746;1.005746
212;1.766665;1.002675;1.000000;1.002675;1.002675;1.002675
213;1.774999;1.000189;1.000000;1.000189;1.000189;1.000189
214;1.783332;0.998436;1.000000;0.998436;0.998436;0.998436
215;1.791665;0.997509;1.000000;0.997509;0.997509;0.997509
216;1.799999;0.997441;1.000000;0.997441;0.997441;0.997441
217;1.808332;0.998210;1.000000;0.998210;0.998210;0.998210
218;1.816665;0.999734;1.000000;0.999734;0.999734;0.999734
219;1.824999;1.001885;1.000000;1.001885;1.001885;1.001885
220;1.833332;1.004498;1.000000;1.004498;1.004498;1.004498
221;1.841665;1.007380;1.000000;1.007380;1.007380;1.007380
222;1.849999;1.010329;1.000000;1.010329;1.010329;1.010329
223;1.858332;1.013143;1.000000;1.013143;1.013143;1.013143
224;1.866665;1.015637;1.000000;1.015637;1.015637;1.015637
225;1.874999;1.017655;1.000000;1.017655;1.017655;1.017655
226;1.883332;1.019076;1.000000;1.019076;1.019076;1.019076
227;1.891665;1.019825;1.000000;1.019825;1.019825;1.019825
228;1.899999;1.019874;1.000000;1.019874;1.019874;1.019874
229;1.908332;1.019243;1.000000;1.019243;1.019243;1.019243
230;1.916665;1.017998;1.000000;1.017998;1.017998;1.017998
231;1.924999;1.016244;1.000000;1.016244;1.016244;1.016244
232;1.933332;1.014115;1.000000;1.014115;1.014115;1.014115
233;1.941665;1.011769;1.000000;1.011769;1.011769;1.011769
234;1.949998;1.009370;1.000000;1.009370;1.009370;1.009370
235;1.958332;1.007082;1.000000;1.007082;1.007082;1.007082
236;1.966665;1.005055;1.000000;1.005055;1.005055;1.005055
237;1.974998;1.003418;1.000000;1.003418;1.003418;1.003418
238;1.983332;1.002267;1.000000;1.002267;1.002267;1.002267
239;1.991665;1.001663;1.000000;1.001663;1.001663;1.001663
240;1.999998;1.001629;1.000000;1.001629;1.001629;1.001629
241;2.008332;1.002147;1.000000;1.002147;1.002147;1.002147
242;2.016665;1.003165;1.000000;1.003165;1.003165;1.003165
243;2.024999;1.004596;1.000000;1.004596;1.004596;1.004596
244;2.033332;1.006330;1.000000;1.006330;1.006330;1.006330
245;2.041666;1.008240;1.000000;1.008240;1.008240;1.008240
246;2.049999;1.010191;1.000000;1.010191;1.010191;1.010191
247;2.058332;1.012051;1.000000;1.012051;1.012051;1.012051
248;2.066666;1.013697;1.000000;1.013697;1.013697;1.013697
249;2.074999;1.015026;1.000000;1.015026;1.015026;1.015026
250;2.083333;1.015958;1.000000;1.015958;1.015958;1.015958
251;2.091666;1.016445;1.000000;1.016445;1.016445;1.016445
252;2.100000;1.016468;1.000000;1.016468;1.016468;1.016468
253;2.108333;1.016042;1.000000;1.016042;1.016042;1.016042
254;2.116667;1.015211;1.000000;1.015211;1.015211;1.015211
255;2.125000;1.014044;1.000000;1.014044;1.014044;1.014044
256;2.133333;1.012631;1.000000;1.012631;1.012631;1.012631
257;2.141667;1.011076;1.000000;1.011076;1.011076;1.011076
258;2.150000;1.009488;1.000000;1.009488;1.009488;1.009488
259;2.158334;1.007977;1.000000;1.007977;1.007977;1.007977
260;2.166667;1.006639;1.000000;1.006639;1.006639;1.006639
261;2.175001;1.005561;1.000000;1.005561;1.005561;1.005561
262;2.183334;1.004806;1.000000;1.004806;1.004806;1.004806
263;2.191668;1.004414;1.000000;1.004414;1.004414;1.004414
264;2.200001;1.004398;1.000000;1.004398;1.004398;1.004398
265;2.208334;1.004748;1.000000;1.004748;1.004748;1.004748
266;2.216668;1.005427;1.000000;1.005427;1.005427;1.005427
267;2.225001;1.006379;1.000000;1.006379;1.006379;1.006379
268;2.233335;1.007531;1.000000;1.007531;1.007531;1.007531
269;2.241668;1.008796;1.000000;1.008796;1.008796;1.008796
270;2.250002;1.010088;1.000000;1.010088;1.010088;1.010088
271;2.258335;1.011317;1.000000;1.011317;1.011317;1.011317
272;2.266669;1.012403;1.000000;1.012403;1.012403;1.012403
273;2.275002;1.013278;1.000000;1.013278;1.013278;1.013278
274;2.283335;1.013890;1.000000;1.013890;1.013890;1.013890
275;2.291669;1.014206;1.000000;1.014206;1.014206;1.014206
276;2.300002;1.014216;1.000000;1.014216;1.014216;1.014216
277;2.308336;1.013928;1.000000;1.013928;1.013928;1.013928
278;2.316669;1.013373;1.000000;1.013373;1.013373;1.013373
279;2.325003;1.012597;1.000000;1.012597;1.012597;1.012597
280;2.333336;1.011659;1.000000;1.011659;1.011659;1.011659
281;2.341670;1.010628;1.000000;1.010628;1.010628;1.010628
282;2.350003;1.009577;1.000000;1.009577;1.009577;1.009577
283;2.358336;1.008577;1.000000;1.008577;1.008577;1.008577
284;2.366670;1.007695;1.000000;1.007695;1.007695;1.007695
285;2.375003;1.006985;1.000000;1.006985;1.006985;1.006985
286;2.383337;1.006490;1.000000;1.006490;1.006490;1.006490
287;2.391670;1.006236;1.000000;1.006236;1.006236;1.006236
288;2.400004;1.006231;1.000000;1.006231;1.006231;1.006231
289;2.408337;1.006468;1.000000;1.006468;1.006468;1.006468
290;2.416671;1.006922;1.000000;1.006922;1.006922;1.006922
291;2.425004;1.007556;1.000000;1.007556;1.007556;1.007556
292;2.433337;1.008320;1.000000;1.008320;1.008320;1.008320
293;2.441671;1.009159;1.000000;1.009159;1.009159;1.009159
294;2.450004;1.010014;1.000000;1.010014;1.010014;1.010014
295;2.458338;1.010827;1.000000;1.010827;1.010827;1.010827
296;2.466671;1.011543;1.000000;1.011543;1.011543;1.011543
297;2.475005;1.012119;1.000000;1.012119;1.012119;1.012119
