frame;time;dx;dy;dz;displacement;angleFromVertical
117;3.899998;0.000000;0.077973;0.000000;0.077973;0.000000
118;3.933331;0.000000;0.099763;0.000000;0.099763;0.000000
119;3.966664;0.000000;0.120984;0.000000;0.120984;0.000000
120;3.999998;0.000000;0.139312;0.000000;0.139312;0.000000
121;4.033331;0.000000;0.152760;0.000000;0.152760;0.000000
122;4.066664;0.000000;0.159887;0.000000;0.159887;0.000000
123;4.099998;0.000000;0.159961;0.000000;0.159961;0.000000
124;4.133331;0.000000;0.153024;0.000000;0.153024;0.000000
125;4.166664;0.000000;0.139887;0.000000;0.139887;0.000000
126;4.199997;0.000000;0.122040;0.000000;0.122040;0.000000
127;4.233331;0.000000;0.101472;0.000000;0.101472;0.000000
128;4.266664;0.000000;0.080458;0.000000;0.080458;0.000000
129;4.299997;0.000000;0.061306;0.000000;0.061306;0.000000
130;4.333331;0.000000;0.046104;0.000000;0.046104;0.000000
131;4.366664;0.000000;0.036491;0.000000;0.036491;0.000000
132;4.399997;0.000000;0.033479;0.000000;0.033479;0.000000
133;4.433331;0.000000;0.037351;0.000000;0.037351;0.000000
134;4.466664;0.000000;0.047629;0.000000;0.047629;0.000000
135;4.499997;0.000000;0.063138;0.000000;0.063138;0.000000
136;4.533330;0.000000;0.082138;0.000000;0.082138;0.000000
137;4.566664;0.000000;0.102521;0.000000;0.102521;0.000000
138;4.599997;0.000000;0.122040;0.000000;0.122040;0.000000
139;4.633330;0.000000;0.138561;0.000000;0.138561;0.000000
140;4.666664;0.000000;0.150296;0.000000;0.150296;0.000000
141;4.699997;0.000000;0.155993;0.000000;0.155993;0.000000
142;4.733330;0.000000;0.155071;0.000000;0.155071;0.000000
143;4.766664;0.000000;0.147682;0.000000;0.147682;0.000000
144;4.799997;0.000000;0.134683;0.000000;0.134683;0.000000
145;4.833330;0.000000;0.117543;0.000000;0.117543;0.000000
146;4.866663;0.000000;0.098171;0.000000;0.098171;0.000000
147;4.899997;0.000000;0.078705;0.000000;0.078705;0.000000
148;4.933330;0.000000;0.061283;0.000000;0.061283;0.000000
149;4.966663;0.000000;0.047801;0.000000;0.047801;0.000000
150;4.999997;0.000000;0.039708;0.000000;0.039708;0.000000
151;5.033330;0.000000;0.037853;0.000000;0.037853;0.000000
152;5.066663;0.000000;0.042393;0.000000;0.042393;0.000000
153;5.099997;0.000000;0.052781;0.000000;0.052781;0.000000
154;5.133330;0.000000;0.067834;0.000000;0.067834;0.000000
